[safe_ngspice] e2e_lock.spice  memcap=2500MB timeout=3600s floor=2000MB
Warning: m=xx on .subckt line will override multiplier m hierarchy!

Using SPARSE 1.3 as Direct Linear Solver
Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed

Note: Compatibility modes selected: hs a


Circuit: * end-to-end acquisition: does the loop lock on this process?

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
sub!                                         0
vcoarse!                                   1.2
vdd                                        1.2
vss                                          0
ibias                                 0.484276
draw                                         0
dinp                                      0.65
edinp_int1                                0.65
dinm                                      0.75
edinm_int1                                0.75
cinp                                      0.65
cinm                                      0.75
x1.eq_p                                0.78182
x1.x1.net1                            0.228293
x1.x1.net2                            0.120762
x1.eq_m                               0.580158
x1.x1.sdegm                           0.280148
x1.x1.xr1.dt                                 0
x1.x1.xr2.dt                                 0
x1.x1.xr3.dt                                 0
x1.x1.xr4.dt                                 0
x1.x2.x6.src_n                     5.06026e-07
x1.x2.bias_n                          0.286809
x1.x2.vctrl                               0.62
x1.x2.net2                         1.45279e-07
x1.x2.x6.upb                               1.2
x1.x2.x6.src_p                             1.2
x1.x2.bias_p                          0.769897
x1.x2.net1                         1.67863e-07
x1.x2.x8.res_bot                       1.15296
x1.x2.x8.xres.mid1                     1.18432
x1.x2.x8.xres.xr2.dt                         0
x1.x2.x8.xres.mid0                     1.16864
x1.x2.x8.xres.xr1.dt                         0
x1.x2.x8.xres.xr0.dt                         0
x1.x2.x8.kick                           0.2512
x1.x2.x8.kick_sw                   1.05288e-05
x1.x2.x8.dio_mid                       0.75584
x1.x2.x2.cap_plus                     0.619991
x1.x2.x2.xr.xr.dt                            0
x1.x2.x3.x6.net1                      0.189768
x1.x2.x3.net1                              1.2
x1.x2.x3.net2                      1.19352e-07
x1.x2.x3.x6.net3                    7.2489e-08
x1.x2.x3.b-                        9.25953e-08
x1.x2.x3.x6.net2                           1.2
x1.x2.x3.b+                                1.2
x1.x2.x3.x6.net4                   8.35049e-08
x1.x2.x3.x7.net1                      0.189768
x1.x2.x3.net5                              1.2
x1.x2.x3.net6                      1.15556e-07
x1.x2.x3.x7.net3                    8.3757e-08
x1.x2.x3.x7.net2                           1.2
x1.x2.x3.x7.net4                   9.47969e-08
x1.x2.x3.x5.x1.net1                   0.173905
x1.x2.x3.x5.x1.net3                     0.1801
x1.x2.x3.x5.x1.net4                   0.115519
x1.x2.x3.x5.x1.net2                    1.15885
x1.x2.x3.x5.x1.net5                   0.142738
x1.rclk_m                          6.79601e-08
x1.rclk_p                                  1.2
x1.x2.x3.x5.net1                           1.2
x1.x2.x3.x5.net2                   2.59852e-07
x1.x2.x3.x5.x1.xr3.dt                        0
x1.x2.x3.x5.x1.xr1.dt                        0
x1.x2.x3.x5.x2.net1                   0.163841
x1.x2.x3.x5.x2.net3                   0.136311
x1.x2.x3.x5.x2.net4                    0.11018
x1.x2.x3.x5.x2.net2                        1.2
x1.x2.x3.x5.x2.net5                   0.163841
x1.x2.x3.x5.x2.xr3.dt                        0
x1.x2.x3.x5.x2.xr1.dt                        0
x1.x2.x3.x1.x1.net1                   0.341831
x1.x2.x3.x1.x1.net3                   0.126984
x1.x2.x3.x1.x1.net4                   0.102456
x1.x2.x3.x1.x1.net2                    1.06997
x1.x2.x3.x1.x1.net5                   0.341831
x1.x2.x3.x1.net1                       1.19966
x1.x2.x3.x1.net2                   2.92096e-06
x1.x2.x3.x1.x1.xr3.dt                        0
x1.x2.x3.x1.x1.xr1.dt                        0
x1.x2.x3.x1.x2.net1                   0.163841
x1.x2.x3.x1.x2.net3                   0.163841
x1.x2.x3.x1.x2.net4                    0.11018
x1.x2.x3.x1.x2.net2                        1.2
x1.x2.x3.x1.x2.net5                   0.136311
x1.x2.x3.net3                              1.2
x1.x2.x3.net4                      9.61825e-08
x1.x2.x3.x1.x2.xr3.dt                        0
x1.x2.x3.x1.x2.xr1.dt                        0
x1.x2.x3.x2.x1.net1                   0.163841
x1.x2.x3.x2.x1.net3                   0.163841
x1.x2.x3.x2.x1.net4                    0.11018
x1.x2.x3.x2.x1.net2                        1.2
x1.x2.x3.x2.x1.net5                   0.136311
x1.x2.x3.x2.net1                           1.2
x1.x2.x3.x2.net2                   9.61785e-08
x1.x2.x3.x2.x1.xr3.dt                        0
x1.x2.x3.x2.x1.xr1.dt                        0
x1.x2.x3.x2.x2.net1                   0.163841
x1.x2.x3.x2.x2.net3                   0.136311
x1.x2.x3.x2.x2.net4                    0.11018
x1.x2.x3.x2.x2.net2                        1.2
x1.x2.x3.x2.x2.net5                   0.163841
x1.x2.x3.x2.x2.xr3.dt                        0
x1.x2.x3.x2.x2.xr1.dt                        0
x1.x2.x3.x3.x1.net1                   0.163841
x1.x2.x3.x3.x1.net3                   0.163841
x1.x2.x3.x3.x1.net4                    0.11018
x1.x2.x3.x3.x1.net2                        1.2
x1.x2.x3.x3.x1.net5                   0.136311
x1.x2.x3.x3.net1                           1.2
x1.x2.x3.x3.net2                   9.61785e-08
x1.x2.x3.x3.x1.xr3.dt                        0
x1.x2.x3.x3.x1.xr1.dt                        0
x1.x2.x3.x3.x2.net1                   0.163841
x1.x2.x3.x3.x2.net3                   0.136311
x1.x2.x3.x3.x2.net4                    0.11018
x1.x2.x3.x3.x2.net2                        1.2
x1.x2.x3.x3.x2.net5                   0.163841
x1.x2.x3.x3.x2.xr3.dt                        0
x1.x2.x3.x3.x2.xr1.dt                        0
x1.x2.x1.net2                              0.3
x1.x2.x1.net8                         0.202508
x1.x2.x1.x1.net1                      0.229566
