[safe_ngspice] e2e_ff125_stages.spice  memcap=2500MB timeout=2400s floor=2000MB
Warning: m=xx on .subckt line will override multiplier m hierarchy!

Using SPARSE 1.3 as Direct Linear Solver
Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed

Note: Compatibility modes selected: hs a


Circuit: * end-to-end acquisition on prbs7 -- the run that decides whether the 0101

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
sub!                                         0
vcoarse!                                  1.32
vdd                                       1.32
vss                                          0
ibias                                 0.439688
draw                                         0
dinp                                      0.65
edinp_int1                                0.65
dinm                                      0.75
edinm_int1                                0.75
cinp                                      0.65
cinm                                      0.75
x1.eq_p                               0.911243
x1.x1.net1                            0.324904
x1.x1.net2                            0.219796
x1.eq_m                               0.729763
x1.x1.sdegm                            0.37157
x1.x1.xr1.dt                                 0
x1.x1.xr2.dt                                 0
x1.x1.xr3.dt                                 0
x1.x1.xr4.dt                                 0
x1.x2.x6.src_n                     5.23164e-05
x1.x2.bias_n                          0.302163
x1.x2.vctrl                              0.489
x1.x2.net2                         3.89636e-05
x1.x2.x6.upb                           1.31999
x1.x2.x6.src_p                         1.31979
x1.x2.bias_p                          0.725636
x1.x2.net1                         3.91442e-05
x1.x2.x8.res_bot                       1.13285
x1.x2.x8.xres.mid1                     1.25762
x1.x2.x8.xres.xr2.dt                         0
x1.x2.x8.xres.mid0                     1.19524
x1.x2.x8.xres.xr1.dt                         0
x1.x2.x8.xres.xr0.dt                         0
x1.x2.x8.kick                         0.429888
x1.x2.x8.kick_sw                     0.0075517
x1.x2.x8.dio_mid                      0.906504
x1.x2.x2.cap_plus                      0.48898
x1.x2.x2.xr.xr.dt                            0
x1.x2.x3.x6.net1                      0.213959
x1.x2.x3.net1                           1.3183
x1.x2.x3.net2                      3.00431e-05
x1.x2.x3.x6.net3                   1.94763e-05
x1.x2.x3.b-                         2.9815e-05
x1.x2.x3.x6.net2                       1.31998
x1.x2.x3.b+                             1.3183
x1.x2.x3.x6.net4                    1.9626e-05
x1.x2.x3.x7.net1                      0.213957
x1.x2.x3.net5                           1.3183
x1.x2.x3.net6                      2.99922e-05
x1.x2.x3.x7.net3                   1.95666e-05
x1.x2.x3.x7.net2                       1.31998
x1.x2.x3.x7.net4                   1.97163e-05
x1.x2.x3.x5.x1.net1                   0.346379
x1.x2.x3.x5.x1.net3                   0.366495
x1.x2.x3.x5.x1.net4                   0.247651
x1.x2.x3.x5.x1.net2                    1.20258
x1.x2.x3.x5.x1.net5                   0.290124
x1.rclk_m                          1.99544e-05
x1.rclk_p                              1.31999
x1.x2.x3.x5.net1                       1.31564
x1.x2.x3.x5.net2                   0.000318023
x1.x2.x3.x5.x1.xr3.dt                        0
x1.x2.x3.x5.x1.xr1.dt                        0
x1.x2.x3.x5.x2.net1                   0.289108
x1.x2.x3.x5.x2.net3                    0.24876
x1.x2.x3.x5.x2.net4                   0.210772
x1.x2.x3.x5.x2.net2                     1.3199
x1.x2.x3.x5.x2.net5                   0.289111
x1.x2.x3.x5.x2.xr3.dt                        0
x1.x2.x3.x5.x2.xr1.dt                        0
x1.x2.x3.x1.x1.net1                   0.490775
x1.x2.x3.x1.x1.net3                   0.299202
x1.x2.x3.x1.x1.net4                    0.25579
x1.x2.x3.x1.x1.net2                    1.04835
x1.x2.x3.x1.x1.net5                   0.490781
x1.x2.x3.x1.net1                        1.2954
x1.x2.x3.x1.net2                    0.00594983
x1.x2.x3.x1.x1.xr3.dt                        0
x1.x2.x3.x1.x1.xr1.dt                        0
x1.x2.x3.x1.x2.net1                    0.28903
x1.x2.x3.x1.x2.net3                    0.28903
x1.x2.x3.x1.x2.net4                   0.210891
x1.x2.x3.x1.x2.net2                    1.31974
x1.x2.x3.x1.x2.net5                   0.248894
x1.x2.x3.net3                           1.3183
x1.x2.x3.net4                      2.99596e-05
x1.x2.x3.x1.x2.xr3.dt                        0
x1.x2.x3.x1.x2.xr1.dt                        0
x1.x2.x3.x2.x1.net1                    0.28903
x1.x2.x3.x2.x1.net3                    0.28903
x1.x2.x3.x2.x1.net4                   0.210891
x1.x2.x3.x2.x1.net2                    1.31974
x1.x2.x3.x2.x1.net5                   0.248894
x1.x2.x3.x2.net1                        1.3183
x1.x2.x3.x2.net2                   2.99595e-05
x1.x2.x3.x2.x1.xr3.dt                        0
x1.x2.x3.x2.x1.xr1.dt                        0
x1.x2.x3.x2.x2.net1                    0.28902
x1.x2.x3.x2.x2.net3                   0.248809
x1.x2.x3.x2.x2.net4                   0.210816
x1.x2.x3.x2.x2.net2                     1.3199
x1.x2.x3.x2.x2.net5                   0.289024
x1.x2.x3.x2.x2.xr3.dt                        0
x1.x2.x3.x2.x2.xr1.dt                        0
x1.x2.x3.x3.x1.net1                    0.28903
x1.x2.x3.x3.x1.net3                    0.28903
x1.x2.x3.x3.x1.net4                   0.210891
x1.x2.x3.x3.x1.net2                    1.31974
x1.x2.x3.x3.x1.net5                   0.248894
x1.x2.x3.x3.net1                        1.3183
x1.x2.x3.x3.net2                   2.99595e-05
x1.x2.x3.x3.x1.xr3.dt                        0
x1.x2.x3.x3.x1.xr1.dt                        0
x1.x2.x3.x3.x2.net1                    0.28902
x1.x2.x3.x3.x2.net3                   0.248809
x1.x2.x3.x3.x2.net4                   0.210816
x1.x2.x3.x3.x2.net2                     1.3199
x1.x2.x3.x3.x2.net5                   0.289024
x1.x2.x3.x3.x2.xr3.dt                        0
x1.x2.x3.x3.x2.xr1.dt                        0
x1.x2.x1.net2                              0.3
