[safe_ngspice] e2e_prbs_ttm40_early.spice  memcap=2500MB timeout=5400s floor=2000MB
Warning: m=xx on .subckt line will override multiplier m hierarchy!

Using SPARSE 1.3 as Direct Linear Solver
Note: Starting dynamic gmin stepping
Warning: Dynamic gmin stepping failed
Note: Starting true gmin stepping
Note: True gmin stepping completed

Note: Compatibility modes selected: hs a


Circuit: * e2e_prbs_ttm40_early.spice -- tt/-40 c/1.2 v, first 1 us, vctrl every 100 ns + csv.

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
sub!                                         0
vcoarse!                                   1.2
vdd                                        1.2
vss                                          0
ibias                                 0.485613
draw                                         0
dinp                                      0.65
edinp_int1                                0.65
dinm                                      0.75
edinm_int1                                0.75
cinp                                      0.65
cinm                                      0.75
x1.eq_p                               0.766164
x1.x1.net1                            0.196583
x1.x1.net2                            0.085026
x1.eq_m                               0.548393
x1.x1.sdegm                            0.25258
x1.x1.xr1.dt                                 0
x1.x1.xr2.dt                                 0
x1.x1.xr3.dt                                 0
x1.x1.xr4.dt                                 0
x1.x2.x6.src_n                        0.592421
x1.x2.bias_n                           0.32954
x1.x2.vctrl                              0.637
x1.x2.net2                                 1.2
x1.x2.x6.upb                       9.17338e-09
x1.x2.x6.src_p                        0.650054
x1.x2.bias_p                           0.74245
x1.x2.net1                                 1.2
x1.x2.x2.cap_plus                     0.636992
x1.x2.x2.xr.xr.dt                            0
x1.x2.x3.x6.net1                           1.2
x1.x2.x3.net1                              1.2
x1.x2.x3.net2                      2.43971e-08
x1.x2.x3.x6.net3                     0.0373367
x1.x2.x3.b-                        3.73876e-08
x1.x2.x3.x6.net2                           1.2
x1.x2.x3.b+                        3.77295e-08
x1.x2.x3.x6.net4                       1.01281
x1.x2.x3.x7.net1                           1.2
x1.x2.x3.net5                      2.39775e-08
x1.x2.x3.net6                      2.39775e-08
x1.x2.x3.x7.net3                     0.0373367
x1.x2.x3.x7.net2                           1.2
x1.x2.x3.x7.net4                     0.0373367
x1.x2.x3.x5.x1.net1                   0.123413
x1.x2.x3.x5.x1.net3                   0.126518
x1.x2.x3.x5.x1.net4                  0.0797508
x1.x2.x3.x5.x1.net2                    1.17226
x1.x2.x3.x5.x1.net5                   0.100546
x1.rclk_m                          1.00051e-08
x1.rclk_p                                  1.2
x1.x2.x3.x5.net1                           1.2
x1.x2.x3.x5.net2                   1.24245e-08
x1.x2.x3.x5.x1.xr3.dt                        0
x1.x2.x3.x5.x1.xr1.dt                        0
x1.x2.x3.x5.x2.net1                   0.118706
x1.x2.x3.x5.x2.net3                  0.0975947
x1.x2.x3.x5.x2.net4                  0.0773406
x1.x2.x3.x5.x2.net2                        1.2
x1.x2.x3.x5.x2.net5                   0.118706
x1.x2.x3.x5.x2.xr3.dt                        0
x1.x2.x3.x5.x2.xr1.dt                        0
x1.x2.x3.x1.x1.net1                    0.26803
x1.x2.x3.x1.x1.net3                  0.0891434
x1.x2.x3.x1.x1.net4                  0.0704647
x1.x2.x3.x1.x1.net2                     1.1198
x1.x2.x3.x1.x1.net5                    0.26803
x1.x2.x3.x1.net1                           1.2
x1.x2.x3.x1.net2                    2.8624e-08
x1.x2.x3.x1.x1.xr3.dt                        0
x1.x2.x3.x1.x1.xr1.dt                        0
x1.x2.x3.x1.x2.net1                   0.118706
x1.x2.x3.x1.x2.net3                   0.118706
x1.x2.x3.x1.x2.net4                  0.0773406
x1.x2.x3.x1.x2.net2                        1.2
x1.x2.x3.x1.x2.net5                  0.0975947
x1.x2.x3.net3                              1.2
x1.x2.x3.net4                      9.63347e-09
x1.x2.x3.x1.x2.xr3.dt                        0
x1.x2.x3.x1.x2.xr1.dt                        0
x1.x2.x3.x2.x1.net1                     0.6855
x1.x2.x3.x2.x1.net3                     0.6855
x1.x2.x3.x2.x1.net4                  0.0720973
x1.x2.x3.x2.x1.net2                     0.6855
x1.x2.x3.x2.x1.net5                  0.0911541
x1.x2.x3.x2.net1                     0.0633355
x1.x2.x3.x2.net2                     0.0633355
x1.x2.x3.x2.x1.xr3.dt                        0
x1.x2.x3.x2.x1.xr1.dt                        0
x1.x2.x3.x2.x2.net1                        1.2
x1.x2.x3.x2.x2.net3                9.73823e-08
x1.x2.x3.x2.x2.net4                8.30942e-08
x1.x2.x3.x2.x2.net2                        1.2
x1.x2.x3.x2.x2.net5                    1.04559
x1.x2.x3.x2.x2.xr3.dt                        0
x1.x2.x3.x2.x2.xr1.dt                        0
x1.x2.x3.x3.x1.net1                     0.6855
x1.x2.x3.x3.x1.net3                     0.6855
x1.x2.x3.x3.x1.net4                  0.0720973
x1.x2.x3.x3.x1.net2                     0.6855
x1.x2.x3.x3.x1.net5                  0.0911541
x1.x2.x3.x3.net1                     0.0633355
x1.x2.x3.x3.net2                     0.0633355
x1.x2.x3.x3.x1.xr3.dt                        0
x1.x2.x3.x3.x1.xr1.dt                        0
x1.x2.x3.x3.x2.net1                        1.2
x1.x2.x3.x3.x2.net3                9.73823e-08
x1.x2.x3.x3.x2.net4                8.30942e-08
x1.x2.x3.x3.x2.net2                        1.2
x1.x2.x3.x3.x2.net5                    1.04559
x1.x2.x3.x3.x2.xr3.dt                        0
x1.x2.x3.x3.x2.xr1.dt                        0
x1.x2.x1.net2                              0.3
x1.x2.x1.net8                        0.0940084
x1.x2.x1.x1.net1                       0.35073
x1.x2.x1.net1                              0.9
x1.x2.x1.net7                              1.2
x1.x2.x1.x1.xr1.dt                           0
x1.x2.x1.x1.xr2.dt                           0
x1.x2.x1.net3                          1.19426
